id|folder|signer|annotation
01April_2010_Thursday_heute_default-0|01April_2010_Thursday_heute_default-0/1/*.png|Signer04|__ON__ LIEB ZUSCHAUER ABEND WINTER GESTERN loc-NORD SCHOTTLAND loc-REGION UEBERSCHWEMMUNG AMERIKA IX
01April_2010_Thursday_heute_default-2|01April_2010_Thursday_heute_default-2/1/*.png|Signer04|loc-WEST WARM loc-WEST BLEIBEN KUEHL
01April_2010_Thursday_heute_default-3|01April_2010_Thursday_heute_default-3/1/*.png|Signer04|KUEHL KUEHL IN-KOMMEND NACHT MINUS loc-MINUS-PLUSPLUS TEIL MINUS FUENF ALPEN KUESTE NULL
01April_2010_Thursday_heute_default-4|01April_2010_Thursday_heute_default-4/1/*.png|Signer04|MORGEN TEMPERATUR ACHT BIS DREIZEHN MAXIMAL DREIZEHN
01April_2010_Thursday_heute_default-6|01April_2010_Thursday_heute_default-6/1/*.png|Signer04|AUCH SAMSTAG WEST FREUNDLICH IX TROCKEN WEST REGEN REGEN
01April_2010_Thursday_heute_default-7|01April_2010_Thursday_heute_default-7/1/*.png|Signer04|SONNTAG SUED SCHNEE DABEI MONTAG __EMOTION__ SCHAUER KOMMEN
01April_2010_Thursday_heute_default-8|01April_2010_Thursday_heute_default-8/1/*.png|Signer04|DANN FREUNDLICH KLAR MONTAG MEHR MEHR WARM AB DIENSTAG JETZT WUENSCHEN SCHOEN ABEND __OFF__
01April_2010_Thursday_tagesschau_default-0|01April_2010_Thursday_tagesschau_default-0/1/*.png|Signer04|__ON__ WETTER WIE-AUSSEHEN MORGEN FREITAG ZWEITE APRIL __OFF__
01April_2010_Thursday_tagesschau_default-2|01April_2010_Thursday_tagesschau_default-2/1/*.png|Signer04|HEUTE NACHT OST REGEN loc-NORD __EMOTION__ REGEN-PLUSPLUS MORGEN UEBERWIEGEND FREUNDLICH
01April_2010_Thursday_tagesschau_default-3|01April_2010_Thursday_tagesschau_default-3/1/*.png|Signer04|IX SCHAUER ABEND WEST loc-SUED BISSCHEN REGEN REGEN
01April_2010_Thursday_tagesschau_default-4|01April_2010_Thursday_tagesschau_default-4/1/*.png|Signer04|HIER WIND SCHWACH MAESSIG MAESSIG loc-WEST NORD WIND __OFF__
01April_2010_Thursday_tagesschau_default-5|01April_2010_Thursday_tagesschau_default-5/1/*.png|Signer04|__ON__ HEUTE NACHT FLUSS DREI MINUS SECHS ALPEN VORSICHT GLATT
01April_2010_Thursday_tagesschau_default-6|01April_2010_Thursday_tagesschau_default-6/1/*.png|Signer04|MORGEN SIEBEN loc-LAND VIERZEHN FLUSS
01April_2010_Thursday_tagesschau_default-9|01April_2010_Thursday_tagesschau_default-9/1/*.png|Signer04|OSTERN MONTAG AUCH REGEN REGEN HOCH __EMOTION__ SCHNEE __OFF__
01April_2011_Friday_tagesschau_default-2|01April_2011_Friday_tagesschau_default-2/1/*.png|Signer08|__ON__ WOCHENENDE IX HOCH DRUCK DAZU WARM cl-KOMMEN VIEL SONNE UND AEHNLICH SOMMER TEMPERATUR TEMPERATUR __OFF__
01April_2011_Friday_tagesschau_default-4|01April_2011_Friday_tagesschau_default-4/1/*.png|Signer08|__ON__ REGION TIEF __LEFTHAND__ SONNTAG cl-KOMMEN REGEN REGEN UND GEWITTER __OFF__
01April_2011_Friday_tagesschau_default-7|01April_2011_Friday_tagesschau_default-7/1/*.png|Signer08|KLAR IX REGION KOENNEN NEBEL NORDOSTRAUM TAG ANFANG WOLKE WESTRAUM IX EINFACH VERSCHWINDEN MEHR SONNE __OFF__
01April_2011_Friday_tagesschau_default-9|01April_2011_Friday_tagesschau_default-9/1/*.png|Signer08|__ON__ WIND SCHWACH MAESSIG NORD SEE IX KOENNEN FRISCH WEHEN WEHEN WEHEN __OFF__
01April_2011_Friday_tagesschau_default-10|01April_2011_Friday_tagesschau_default-10/1/*.png|Signer08|__ON__ BERG ALLGAEU HEUTE ABEND VIER GRAD FLUSS ELF GRAD __OFF__
01April_2011_Friday_tagesschau_default-11|01April_2011_Friday_tagesschau_default-11/1/*.png|Signer08|__ON__ RUEGEN MORGEN VIERZEHN GRAD FLUSS SOMMER FUENF ZWANZIG BIS SECHS ZWANZIG GRAD __OFF__
01April_2011_Friday_tagesschau_default-12|01April_2011_Friday_tagesschau_default-12/1/*.png|Signer08|__ON__ SONNTAG WEST NORDWESTRAUM WOLKE KOENNEN REGEN REGEN ODER GEWITTER KOENNEN
01April_2011_Friday_tagesschau_default-13|01April_2011_Friday_tagesschau_default-13/1/*.png|Signer08|SUEDOSTRAUM DURCHGEHEND SONNE TROCKEN WARM __OFF__
01August_2011_Monday_heute_default-0|01August_2011_Monday_heute_default-0/1/*.png|Signer07|__ON__ GUT ABEND LIEB ZUSCHAUER SOMMER KOENNEN SCHOEN WEST SUEDWESTRAUM SCHON WETTER BESONDERS BLAU HIMMEL WIE MAINZ ZEIGEN-BILDSCHIRM
01August_2011_Monday_heute_default-1|01August_2011_Monday_heute_default-1/1/*.png|Signer07|__EMOTION__ KOMMEN ALLE KOMMEN WARM SONNE AUS FRANKREICH cl-KOMMEN SCHON DREISSIG GRAD cl-KOMMEN
01August_2011_Monday_heute_default-2|01August_2011_Monday_heute_default-2/1/*.png|Signer07|IN-KOMMEND TAG AUCH BEI-UNS __EMOTION__ AM MITTWOCH WIEDER WARM DRUCK WEST SCHON ANFANG REGEN REGEN GEWITTER GEWITTER
01August_2011_Monday_heute_default-3|01August_2011_Monday_heute_default-3/1/*.png|Signer07|ABER HEUTE ABEND RUHIG BISSCHEN NEBEL MORGEN FRUEH BAYERN NIEDERSACHSEN REGION S REGION
01August_2011_Monday_heute_default-4|01August_2011_Monday_heute_default-4/1/*.png|Signer07|NORD KUESTE AUCH VIELLEICHT BISSCHEN ABER NACHT ENORM MILD IX MORGEN NEBEL ACH __PU__ NICHT-HABEN
01August_2011_Monday_heute_default-5|01August_2011_Monday_heute_default-5/1/*.png|Signer07|SONNE MACHEN NEBEL VERSCHWINDEN DANN NORD DEUTSCH LAND SONNE ABER NORDWESTRAUM MUENSTER LAND BIS IX HESSEN REGION
01August_2011_Monday_heute_default-7|01August_2011_Monday_heute_default-7/1/*.png|Signer07|WARM SUEDWESTRAUM SCHON DREISSIG GRAD SCHON MEISTENS REST VIER ZWANZIG GRAD BIS DREI ZWANZIG GRAD BISSCHEN KUEHL MEISTENS NORD KUESTE BISSCHEN KUEHL IX
01August_2011_Monday_heute_default-8|01August_2011_Monday_heute_default-8/1/*.png|Signer07|GLEICH DONNERSTAG FREITAG UEBERALL cl-KOMMEN IHR SCHOEN ABEND MACHEN GUT __OFF__
01December_2011_Thursday_heute_default-0|01December_2011_Thursday_heute_default-0/1/*.png|Signer05|__ON__ ABEND LIEB ZUSCHAUER poss-EUCH DEZEMBER ANFANG REGEN REGEN HEUTE LEUTE NACH-HAUSE NACH-HAUSE NACH-HAUSE NACH-HAUSE DAS-IST-ES __LEFTHAND__
01December_2011_Thursday_heute_default-1|01December_2011_Thursday_heute_default-1/1/*.png|Signer05|HEUTE VOR MITTAG W IX WEITER REGEN REGEN VIER ZWANZIG STUNDE STUNDE
01December_2011_Thursday_heute_default-2|01December_2011_Thursday_heute_default-2/1/*.png|Signer05|REGION REGEN SAMSTAG DOCH MORGEN ABEND IX IRLAND __LEFTHAND__ __EMOTION__ SONNTAG REGEN REGEN DOCH VERBREITEN VERBREITEN VERBREITEN VERBREITEN
01December_2011_Thursday_heute_default-4|01December_2011_Thursday_heute_default-4/1/*.png|Signer05|BESONDERS BAYERN OST HIMMEL KLAR BISSCHEN NEBEL AUCH FROST
01December_2011_Thursday_heute_default-7|01December_2011_Thursday_heute_default-7/1/*.png|Signer05|NORDWESTRAUM REGION SPAETER SUEDWESTRAUM AUCH OST BISSCHEN MEHR TROCKEN
01December_2011_Thursday_heute_default-8|01December_2011_Thursday_heute_default-8/1/*.png|Signer05|__LEFTHAND__ BIS WALD P O P PFALZ IX __EMOTION__ DANN REGION MILD IX SONNE SONNE REGION STURM
01December_2011_Thursday_heute_default-9|01December_2011_Thursday_heute_default-9/1/*.png|Signer05|__LEFTHAND__ __LEFTHAND__ NORDWESTRAUM WEHEN WEHEN IX IN-KOMMEND IN-KOMMEND __EMOTION__ NUR REGEN BIS MONTAG __EMOTION__ VIEL STURM SCHOEN ABEND poss-EUCH MACHEN GUT poss-EUCH __OFF__
01December_2011_Thursday_tagesschau_default-0|01December_2011_Thursday_tagesschau_default-0/1/*.png|Signer05|__ON__ JETZT WETTER MORGEN FREITAG ZWEITE DEZEMBER __OFF__
01December_2011_Thursday_tagesschau_default-2|01December_2011_Thursday_tagesschau_default-2/1/*.png|Signer05|__ON__ IX MEER TIEF NORDWEST WETTER WECHSELHAFT WECHSELHAFT
01December_2011_Thursday_tagesschau_default-3|01December_2011_Thursday_tagesschau_default-3/1/*.png|Signer05|SUEDOSTRAUM __EMOTION__ VORTEIL IX HOCH BELGIEN cl-KOMMEN
01December_2011_Thursday_tagesschau_default-4|01December_2011_Thursday_tagesschau_default-4/1/*.png|Signer05|NACHT BESONDERS NORDRAUM NORDWESTRAUM REGEN REGEN SUED TEIL TEIL KLAR WOLKE NEBEL
01December_2011_Thursday_tagesschau_default-5|01December_2011_Thursday_tagesschau_default-5/1/*.png|Signer05|MEISTENS WOLKE REGEN REGEN SUED cl-KOMMEN __LEFTHAND__ KLAR REGION WAHRSCHEINLICH SCHAUER SCHAUER
01December_2011_Thursday_tagesschau_default-7|01December_2011_Thursday_tagesschau_default-7/1/*.png|Signer05|NACHT __LEFTHAND__ ZEHN BAYERN IX MINUS ZWEI __OFF__
01December_2011_Thursday_tagesschau_default-9|01December_2011_Thursday_tagesschau_default-9/1/*.png|Signer05|__ON__ TAG NORD NUR FUENF ALLGAEU BERG VOR LAND VIERZEHN __OFF__
01December_2011_Thursday_tagesschau_default-11|01December_2011_Thursday_tagesschau_default-11/1/*.png|Signer05|__ON__ SAMSTAG WIEDER NEU REGEN __LEFTHAND__ __LEFTHAND__ cl-KOMMEN cl-KOMMEN WIND STURM
01December_2011_Thursday_tagesschau_default-12|01December_2011_Thursday_tagesschau_default-12/1/*.png|Signer05|SONNTAG WECHSELHAFT WECHSELHAFT AUCH TEIL STURM
01December_2011_Thursday_tagesschau_default-13|01December_2011_Thursday_tagesschau_default-13/1/*.png|Signer05|MONTAG OFT OFT STARK WOLKE WOLKE WOLKE TEIL ORT-PLUSPLUS REGEN REGEN REGEN WIND BLEIBEN BLEIBEN __OFF__
01February_2011_Tuesday_heute_default-0|01February_2011_Tuesday_heute_default-0/1/*.png|Signer08|__ON__ LIEB ZUSCHAUER GUT ABEND HEUTE NEBEL HOCH NEBEL ZWISCHEN __EMOTION__ RUHIG WETTER ZEIT VORBEI
01February_2011_Tuesday_heute_default-1|01February_2011_Tuesday_heute_default-1/1/*.png|Signer08|MITTE STURM TIEF cl-KOMMEN cl-KOMMEN LUFT MILD
01February_2011_Tuesday_heute_default-2|01February_2011_Tuesday_heute_default-2/1/*.png|Signer08|REGION MITTE KOENNEN SCHNEE __OFF__
01February_2011_Tuesday_heute_default-4|01February_2011_Tuesday_heute_default-4/1/*.png|Signer08|__ON__ cl-KOMMEN KALT LUFT HEUTE NACHT SUEDRAUM FROST
01February_2011_Tuesday_heute_default-5|01February_2011_Tuesday_heute_default-5/1/*.png|Signer08|SUEDOSTRAUM MINUS UEBER MINUS ZEHN DREIZEHN GRAD
01February_2011_Tuesday_heute_default-9|01February_2011_Tuesday_heute_default-9/1/*.png|Signer08|OST KOENNEN SCHNEE IX ANFANG REGEN KOENNEN GLATT NORDWESTRAUM TROCKEN TRUEB
01February_2011_Tuesday_heute_default-10|01February_2011_Tuesday_heute_default-10/1/*.png|Signer08|NORDWESTRAUM DANN WIEDER REGEN REGEN cl-KOMMEN
01February_2011_Tuesday_heute_default-11|01February_2011_Tuesday_heute_default-11/1/*.png|Signer08|DONNERSTAG cl-KOMMEN KOENNEN DAZU BERG KOENNEN SCHNEE GLATT DANACH MILD STURM IN-KOMMEND IN-KOMMEND __OFF__
01February_2011_Tuesday_heute_default-13|01February_2011_Tuesday_heute_default-13/1/*.png|Signer08|WIE AUSSEHEN SIE KOENNEN MACHEN ANSCHAUEN Z D E TEXT ODER KOENNEN INTERNET SIE SCHAUEN JETZT SCHOEN ABEND poss-EUCH __OFF__
01February_2011_Tuesday_tagesschau_default-0|01February_2011_Tuesday_tagesschau_default-0/1/*.png|Signer08|__ON__ JETZT WETTER WIE-AUSSEHEN MORGEN MITTWOCH ZWEITE FEBRUAR ZEIGEN-BILDSCHIRM __OFF__
01February_2011_Tuesday_tagesschau_default-2|01February_2011_Tuesday_tagesschau_default-2/1/*.png|Signer08|__ON__ TIEF cl-KOMMEN SCHNEE KALT REGEN GLATT
01February_2011_Tuesday_tagesschau_default-3|01February_2011_Tuesday_tagesschau_default-3/1/*.png|Signer08|DAZU cl-KOMMEN MILD DARUM AB FREITAG SCHNEE NICHT-MEHR SUED IX FREUNDLICH __OFF__
01February_2011_Tuesday_tagesschau_default-5|01February_2011_Tuesday_tagesschau_default-5/1/*.png|Signer08|__ON__ cl-KOMMEN HEUTE NACHT cl-KOMMEN SCHNEE __EMOTION__ REGEN GLATT KOENNEN GLATT __EMOTION__
01February_2011_Tuesday_tagesschau_default-6|01February_2011_Tuesday_tagesschau_default-6/1/*.png|Signer08|GEFAHR KOENNEN UNWETTER __PU__ WARNUNG __PU__ __OFF__
01February_2011_Tuesday_tagesschau_default-7|01February_2011_Tuesday_tagesschau_default-7/1/*.png|Signer08|__ON__ AUCH MORGEN VIEL WOLKE SPEZIELL __PU__ OST SUEDRAUM SCHNEE UND REGEN REGEN GLATT NACH MITTAG AUFLOESEN AUFLOESEN
01February_2011_Tuesday_tagesschau_default-8|01February_2011_Tuesday_tagesschau_default-8/1/*.png|Signer08|ABER ABEND cl-KOMMEN REGEN REGEN SUEDRAUM SCHWACH NORDRAUM MAESSIG MAESSIG WEHEN WEHEN KUESTE STURM KOENNEN __OFF__
01February_2011_Tuesday_tagesschau_default-10|01February_2011_Tuesday_tagesschau_default-10/1/*.png|Signer08|__ON__ OST SUEDRAUM HEUTE NACHT FROST FROST FROST
01February_2011_Tuesday_tagesschau_default-11|01February_2011_Tuesday_tagesschau_default-11/1/*.png|Signer08|NORDRAUM EIN GRAD GRAD MINUS PLUS
01February_2011_Tuesday_tagesschau_default-12|01February_2011_Tuesday_tagesschau_default-12/1/*.png|Signer08|MORGEN FLUSS MINUS FUENF GRAD FLUSS PLUS FUENF GRAD
01July_2009_Wednesday_tagesschau_default-0|01July_2009_Wednesday_tagesschau_default-0/1/*.png|Signer09|__OFF__ HIER WETTER WIE-AUSSEHEN MORGEN DONNERSTAG ZWEITE JULI __ON__
01July_2009_Wednesday_tagesschau_default-2|01July_2009_Wednesday_tagesschau_default-2/1/*.png|Signer09|IM-VERLAUF NACHT TEIL TEIL UEBERWIEGEND REGEN-PLUSPLUS GEWITTER IX __EMOTION__ loc-REGION WIND RUHIG RUHIG KLAR KLAR TEIL TEIL AUCH NEBEL
01July_2009_Wednesday_tagesschau_default-4|01July_2009_Wednesday_tagesschau_default-4/1/*.png|Signer09|DANN MOEGLICH WEHEN-PLUSPLUS __EMOTION__ SCHWACH SCHWACH WEHEN-PLUSPLUS HEUTE NACHT WARM VIERZEHN MAXIMAL NEUNZEHN loc-ALPEN ZWOELF
01July_2009_Wednesday_tagesschau_default-5|01July_2009_Wednesday_tagesschau_default-5/1/*.png|Signer09|WENN IX WEHEN ANGENEHM DREI ZWANZIG GRAD loc-SUEDOST MAXIMAL ZWEIDREISSIG __OFF__
01July_2009_Wednesday_tagesschau_default-6|01July_2009_Wednesday_tagesschau_default-6/1/*.png|Signer09|__ON__ FREITAG __EMOTION__ DASSELBE __PU__ SAMSTAG SONNTAG ALLE TIEF SCHAUER NEU WOLKE GEWITTER ICH SONNTAG BISSCHEN KUEHL __OFF__
01July_2010_Thursday_tagesschau_default-0|01July_2010_Thursday_tagesschau_default-0/1/*.png|Signer08|__ON__ JETZT WETTER MORGEN FREITAG ZWEITE JULI WIE-AUSSEHEN ZEIGEN __OFF__
01July_2010_Thursday_tagesschau_default-2|01July_2010_Thursday_tagesschau_default-2/1/*.png|Signer08|__ON__ WEST loc-WEST HOCH KOMMEN HEISS LUFT KOMMEN SAMSTAG UNGEFAEHR SECHS DREISSIG
01July_2010_Thursday_tagesschau_default-3|01July_2010_Thursday_tagesschau_default-3/1/*.png|Signer08|GRAD HOCH KOMMEN DANN KOENNEN GEWITTER STURM REGEN REGEN KOENNEN __ON__
01July_2010_Thursday_tagesschau_default-5|01July_2010_Thursday_tagesschau_default-5/1/*.png|Signer08|__ON__ REGEN REGEN SCHON VORBEI DANN TROCKEN KLAR STERN KOENNEN SEHEN ODER LOCKER WOLKE
01July_2010_Thursday_tagesschau_default-6|01July_2010_Thursday_tagesschau_default-6/1/*.png|Signer08|TAG VIEL SONNE IX WOLKE SCHWARZ WALD ALPEN KOENNEN GEWITTER GEWITTER GRUND HEISS __OFF__
01July_2010_Thursday_tagesschau_default-8|01July_2010_Thursday_tagesschau_default-8/1/*.png|Signer08|__ON__ loc-NORD WIND SCHWACH loc-SUEDOST SCHWACH __ON__
01July_2010_Thursday_tagesschau_default-10|01July_2010_Thursday_tagesschau_default-10/1/*.png|Signer08|__ON__ NACHT NEUNZEHN BIS ZWOELF GRAD TAG SECHS ZWANZIG loc-NORD BIS FUENF DREISSIG FLUSS __OFF__
01July_2010_Thursday_tagesschau_default-12|01July_2010_Thursday_tagesschau_default-12/1/*.png|Signer08|SAMSTAG __EMOTION__ SONNE AB NACH MITTAG loc-WEST KOENNEN REGEN REGEN GEWITTER WIE IX REGEN REGEN KOENNEN __OFF__
01July_2010_Thursday_tagesschau_default-15|01July_2010_Thursday_tagesschau_default-15/1/*.png|Signer08|MONTAG SONNE WOLKE WECHSELHAFT KOENNEN GEWITTER __OFF__
01July_2011_Friday_tagesschau_default-0|01July_2011_Friday_tagesschau_default-0/1/*.png|Signer04|__ON__ JETZT WETTER WIE-AUSSEHEN MORGEN SAMSTAG ZWEITE JULI __OFF__
01July_2011_Friday_tagesschau_default-2|01July_2011_Friday_tagesschau_default-2/1/*.png|Signer04|__ON__ TIEF cl-KOMMEN BEDEUTEN MITTE EUROPA poss-BEI-UNS EINFLUSS EINFLUSS NORD WEHEN KUEHL
01July_2011_Friday_tagesschau_default-3|01July_2011_Friday_tagesschau_default-3/1/*.png|Signer04|TIEF VORBEI REGEN cl-KOMMEN IX SONNTAG MEHR WARM
01July_2011_Friday_tagesschau_default-4|01July_2011_Friday_tagesschau_default-4/1/*.png|Signer04|NACHT BISSCHEN SCHAUER GEWITTER ABER SPAETER AUFLOESEN
01July_2011_Friday_tagesschau_default-5|01July_2011_Friday_tagesschau_default-5/1/*.png|Signer04|NORDOST __EMOTION__ WOLKE IX REGEN REGEN NORD KUESTE LANG REGEN REGEN REGEN REGEN
01July_2011_Friday_tagesschau_default-7|01July_2011_Friday_tagesschau_default-7/1/*.png|Signer04|WIND MAESSIG WEHEN WEHEN MEER REGION STURM MOEGLICH
01July_2011_Friday_tagesschau_default-10|01July_2011_Friday_tagesschau_default-10/1/*.png|Signer04|NORDRAUM BISSCHEN GEWITTER GEWITTER MEISTENS FREUNDLICH SUEDWESTRAUM MONTAG NORDOSTRAUM VIEL WOLKE REGEN GEWITTER
01July_2011_Friday_tagesschau_default-11|01July_2011_Friday_tagesschau_default-11/1/*.png|Signer04|SUEDWESTRAUM MEHR FREUNDLICH DIENSTAG SONNE WOLKE SCHAUER GEWITTER GEMISCHT __OFF__
01June_2010_Tuesday_heute_default-3|01June_2010_Tuesday_heute_default-3/1/*.png|Signer01|__ON__ OST DEUTSCH LAND NOCH CHAOS TIEF KOMMEN BIS SPAETESTEN DONNERSTAG BLEIBEN REGEN-PLUSPLUS
01June_2010_Tuesday_heute_default-4|01June_2010_Tuesday_heute_default-4/1/*.png|Signer01|HEUTE NACHT loc-REGION loc-REGEN-PLUSPLUS loc-SUED WEST BISSCHEN REGEN loc-NORDWEST KLAR STERN KOENNEN SEHEN
01June_2010_Tuesday_heute_default-5|01June_2010_Tuesday_heute_default-5/1/*.png|Signer01|MORGEN WEITER REGEN REGEN loc-REGION-PLUSPLUS BISSCHEN VERAENDERN NORD
01June_2010_Tuesday_heute_default-6|01June_2010_Tuesday_heute_default-6/1/*.png|Signer01|OST SEE MEHR TROCKEN __EMOTION__ loc-REGION loc-REGION REGEN-PLUSPLUS loc-ALPEN __OFF__
01June_2010_Tuesday_heute_default-8|01June_2010_Tuesday_heute_default-8/1/*.png|Signer01|__ON__ AUCH STURM GEFAHR loc-SUEDWEST BISSCHEN SCHAUER SCHAUER loc-NORDWEST FREUNDLICH SONNE __OFF__
01June_2010_Tuesday_heute_default-10|01June_2010_Tuesday_heute_default-10/1/*.png|Signer01|__ON__ DONNERSTAG SUED DANN WECHSELHAFT AB FREITAG loc-REGION BESSER __PU__ __OFF__
01June_2010_Tuesday_heute_default-12|01June_2010_Tuesday_heute_default-12/1/*.png|Signer01|__ON__ SONNE __PU__ WARM ENDLICH WIRKLICH SOMMER KOMMEN SCHOEN ABEND TSCHUESS __OFF__
01June_2010_Tuesday_tagesschau_default-2|01June_2010_Tuesday_tagesschau_default-2/1/*.png|Signer01|__ON__ MITTE EUROPA TIEF KOMMEN KOMMEN REGEN-PLUSPLUS BESONDERS DEUTSCH LAND loc-SUED OST BIS-JETZT DONNERSTAG KOENNEN REGEN-PLUSPLUS ENORM __OFF__
01June_2010_Tuesday_tagesschau_default-4|01June_2010_Tuesday_tagesschau_default-4/1/*.png|Signer01|__ON__ GLEICH ZEIT WEST KOMMEN HOCH KOMMEN __OFF__
01June_2010_Tuesday_tagesschau_default-6|01June_2010_Tuesday_tagesschau_default-6/1/*.png|Signer01|__ON__ TAG loc-SUEDOST REGEN-PLUSPLUS KLAR REGEN-PLUSPLUS DANN HERZ MEHR KOMMEN KOMMEN KOENNEN __OFF__
01June_2010_Tuesday_tagesschau_default-12|01June_2010_Tuesday_tagesschau_default-12/1/*.png|Signer01|__ON__ TAG ZWEIZWANZIG loc-REGION ZEHN ACHT REGEN-PLUSPLUS __OFF__
01June_2010_Tuesday_tagesschau_default-14|01June_2010_Tuesday_tagesschau_default-14/1/*.png|Signer01|FREITAG IX VIEL SONNE NUR ALPEN BISSCHEN REGEN REGEN SAMSTAG VIEL SONNE __OFF__